a489fbfe-9f75-4d97-a253-beb02801be81;0.46;weather
fc94f400-8424-47cd-b0ef-00a940ddf66d;0.47;weather
b61f6ac0-0326-45c0-9fa3-2ad8dc2b1f93;0.48;weather
ae82407e-5806-481e-97c8-cdb1723e9bc8;0.49;weather
cdb5fb09-3df7-44df-a97e-95e0a9a845f8;0.48;weather
abef0dd0-7207-46ce-8d39-6c8c219f130d;0.47;weather
a489fbfe-9f75-4d97-a253-beb02801be81;0.49;historical
fc94f400-8424-47cd-b0ef-00a940ddf66d;0.44;historical
b61f6ac0-0326-45c0-9fa3-2ad8dc2b1f93;0.46;historical
ae82407e-5806-481e-97c8-cdb1723e9bc8;0.46;historical
cdb5fb09-3df7-44df-a97e-95e0a9a845f8;0.43;historical
abef0dd0-7207-46ce-8d39-6c8c219f130d;0.47;historical
